vp time CCC KSU PME BKS BES LBS
ExampleVP1 0 1047.51 818.33 1007.77 777.95 4804.16 136.99
ExampleVP1 1 1047.58 816.51 1005.26 777.91 4800.45 137.82
ExampleVP1 2 1047.58 816.49 1005.34 777.96 4800.49 137.78
ExampleVP1 3 1047.59 816.48 1005.36 777.91 4800.41 137.84
ExampleVP1 4 1047.5 816.48 1005.28 777.94 4800.48 137.91
ExampleVP1 5 1047.6 816.52 1005.38 777.94 4800.47 137.79
ExampleVP1 6 1047.54 816.49 1005.37 778 4800.46 137.8
ExampleVP1 7 1047.55 816.48 1005.33 777.95 4800.43 137.81
ExampleVP1 8 1047.51 816.49 1005.31 777.9 4800.43 137.78
ExampleVP1 9 1047.57 816.52 1005.31 777.93 4800.48 137.88
ExampleVP1 10 1047.64 816.49 1005.32 777.91 4800.51 137.8
ExampleVP1 11 1047.58 816.51 1005.19 777.96 4800.42 137.8
ExampleVP1 12 1047.6 816.53 1005.29 777.87 4800.5 137.8
ExampleVP1 13 1047.57 816.47 1005.25 777.9 4800.43 137.87
ExampleVP1 14 1047.61 816.53 1005.3 777.92 4800.44 137.78
ExampleVP1 15 1047.58 816.53 1005.45 777.9 4800.45 137.78
ExampleVP1 16 1047.6 816.54 1005.41 777.94 4800.46 137.79
ExampleVP1 17 1047.53 816.51 1005.34 777.93 4800.42 137.85
ExampleVP1 18 1047.61 816.51 1005.38 777.91 4800.38 137.78
ExampleVP1 19 1047.6 816.53 1005.38 777.99 4800.54 137.88
ExampleVP1 20 1047.57 816.54 1005.31 777.96 4800.46 137.9
ExampleVP1 21 1047.52 816.45 1005.36 777.94 4800.37 137.79
ExampleVP1 22 1047.56 816.53 1005.4 777.92 4800.46 137.82
ExampleVP1 23 1047.57 816.51 1005.26 777.94 4800.44 137.84
ExampleVP1 24 1047.59 816.52 1005.33 777.94 4800.46 137.83
ExampleVP1 25 1047.64 816.56 1005.41 853.34 4800.46 137.88
ExampleVP1 26 1047.54 816.55 1005.3 785.72 4800.44 137.79
ExampleVP1 27 1047.6 816.51 1005.4 769.1 4800.44 137.88
ExampleVP1 28 1047.58 816.4 1005.34 769.07 4800.49 137.82
ExampleVP1 29 1047.57 816.55 1005.32 769.05 4800.45 137.73
ExampleVP1 30 1047.6 816.51 1005.34 769.01 4800.52 137.78
ExampleVP1 31 1047.59 816.49 1005.34 768.96 4800.45 137.85
ExampleVP1 32 1047.58 816.52 1005.26 769.03 4800.44 137.75
ExampleVP1 33 1047.6 816.42 1005.35 769.01 4800.44 137.82
ExampleVP1 34 1047.49 816.49 1005.18 769.05 4800.46 137.79
ExampleVP1 35 1047.57 816.49 1005.5 769.1 4800.48 137.79
ExampleVP1 36 1047.52 816.52 1005.22 769 4800.42 137.81
ExampleVP1 37 1047.57 816.52 1005.31 769.09 4800.39 137.8
ExampleVP1 38 1047.64 816.49 1005.3 769.07 4800.42 137.84
ExampleVP1 39 1047.56 816.5 1005.33 769.09 4800.37 137.82
ExampleVP1 40 1047.61 816.48 1005.34 769.03 4800.45 137.81
ExampleVP1 41 1047.6 816.45 1005.37 769.07 4800.4 137.77
ExampleVP1 42 1047.54 816.47 1005.42 769.05 4800.56 137.8
ExampleVP1 43 1047.56 816.52 1005.41 769.06 4800.39 137.84
ExampleVP1 44 1047.6 816.51 1005.22 769.04 4800.44 137.81
ExampleVP1 45 1047.56 816.55 1005.34 769.08 4800.53 137.86
ExampleVP1 46 1047.53 816.49 1005.28 769.04 4800.44 137.82
ExampleVP1 47 1047.51 816.51 1005.34 769.05 4800.47 137.85
ExampleVP1 48 1047.6 816.46 1005.3 769.04 4800.47 137.83
ExampleVP1 49 1047.67 816.48 1005.39 768.96 4800.44 137.8
ExampleVP1 50 1047.61 816.47 1005.33 769.05 4800.43 137.84
ExampleVP1 51 1047.62 816.49 1005.34 769.12 4800.46 137.81
ExampleVP1 52 1047.58 816.56 1005.3 769.03 4800.51 137.82
ExampleVP1 53 1047.56 816.56 1005.42 769.02 4800.42 137.83
ExampleVP1 54 1047.54 816.43 1005.31 769.06 4800.45 137.79
ExampleVP1 55 1047.62 816.45 1005.31 768.98 4800.35 137.84
ExampleVP1 56 1047.54 816.49 1005.3 769.04 4800.35 137.86
ExampleVP1 57 1047.57 816.45 1005.32 769.01 4800.45 137.83
ExampleVP1 58 1047.6 816.46 1005.35 769.1 4800.42 137.8
ExampleVP1 59 1047.6 816.48 1005.33 768.94 4800.4 137.82
ExampleVP1 60 1047.63 816.46 1005.42 769.03 4800.41 137.82
ExampleVP1 61 1047.58 816.51 1005.31 769.05 4800.53 137.82
ExampleVP1 62 1047.54 816.49 1005.35 769.06 4800.48 137.78
ExampleVP1 63 1047.56 816.5 1005.46 769.02 4800.49 137.78
ExampleVP1 64 1047.58 816.53 1005.33 769.09 4800.52 137.84
ExampleVP1 65 1047.64 816.43 1005.31 769.07 4800.48 137.83
ExampleVP1 66 1047.56 816.48 1005.31 769.11 4800.47 137.87
ExampleVP1 67 1047.54 816.47 1005.3 769 4800.47 137.8
ExampleVP1 68 1047.67 816.5 1005.33 769.05 4800.42 137.85
ExampleVP1 69 1047.64 816.5 1005.25 769.07 4800.48 137.83
ExampleVP1 70 1047.51 816.52 1005.32 769.08 4800.42 137.8
ExampleVP1 71 1047.59 816.48 1005.4 769.08 4800.47 137.77
ExampleVP1 72 1047.55 816.5 1005.36 769.05 4800.44 137.79
ExampleVP1 73 1047.51 816.45 1005.32 769.04 4800.42 137.76
ExampleVP1 74 1047.5 816.47 1005.34 769 4800.44 137.85
ExampleVP1 75 1047.63 816.49 1005.28 769.04 4800.42 137.84
ExampleVP1 76 1047.49 816.45 1005.33 769.07 4800.47 137.83
ExampleVP1 77 1047.54 816.46 1005.35 769.62 4800.52 137.83
ExampleVP1 78 1047.6 816.53 1005.3 786.68 4800.45 137.83
ExampleVP1 79 1047.61 816.48 1005.39 760.46 4800.54 137.86
ExampleVP1 80 1047.65 815.71 1005.76 761.53 4799.31 137.84
ExampleVP1 81 1048.15 816.98 1005.41 760.25 4800.2 137.85
ExampleVP1 82 1047.51 816.47 1005.39 760.86 4800.46 137.81
ExampleVP1 83 1047.64 815.94 1005.26 760.19 4799.12 137.58
ExampleVP1 84 1047.32 816 1005.76 760.9 4797.52 137.83
ExampleVP1 85 1047.99 816.07 1007.01 761.51 4800.43 138.14
ExampleVP1 86 1048.97 816.53 1005.49 760.38 4799.13 138.1
ExampleVP1 87 1048.05 815.88 1005.53 760.56 4799.21 138.01
ExampleVP1 88 1047.48 816.49 1005.26 760.86 4799.25 137.87
ExampleVP1 89 1047.54 816.48 1005.43 760.82 4799.36 137.83
ExampleVP1 90 1047.53 816.49 1005.32 760.88 4797.96 137.8
ExampleVP1 91 1047.64 816.5 1005.31 760.89 4800.04 137.81
ExampleVP1 92 1047.58 816.47 1005.34 760.87 4798.66 137.79
ExampleVP1 93 1047.54 816.44 1005.32 760.87 4799.61 137.87
ExampleVP1 94 1047.56 816.48 1005.33 760.91 4798.76 137.83
ExampleVP1 95 1047.54 816.42 1005.29 760.88 4797.84 137.82
ExampleVP1 96 1047.57 816.48 1005.39 760.79 4797.55 137.81
ExampleVP1 97 1047.62 816.43 1005.32 760.81 4797.72 137.82
ExampleVP1 98 1047.58 816.49 1005.25 760.86 4797.82 137.8
ExampleVP1 99 1047.61 816.46 1005.38 760.89 4797.58 137.85
ExampleVP1 100 1047.59 816.45 1005.48 760.88 4797.57 137.81
ExampleVP1 101 1047.51 816.45 1005.27 760.83 4798.48 137.84
ExampleVP1 102 1047.49 816.45 1005.32 760.87 4799.02 137.76
ExampleVP1 103 1047.54 816.43 1005.35 760.87 4798.02 137.81
ExampleVP1 104 1047.56 816.46 1005.27 760.82 4798.67 137.76
ExampleVP1 105 1047.56 816.4 1059.27 760.84 4798.3 137.84
ExampleVP1 106 1047.52 816.49 1012.87 760.86 4799.36 137.83
ExampleVP1 107 1047.61 816.47 999.93 760.83 4798.15 137.81
ExampleVP1 108 1047.57 816.43 999.87 760.87 4797.55 137.81
ExampleVP1 109 1047.49 816.49 999.85 760.85 4797.55 137.85
ExampleVP1 110 1047.48 816.5 999.85 760.85 4797.61 137.83
ExampleVP1 111 1047.57 816.47 999.98 760.86 4797.87 137.85
ExampleVP1 112 1047.65 816.44 999.91 760.82 4797.68 137.84
ExampleVP1 113 1047.59 816.5 999.24 760.88 4799.51 137.8
ExampleVP1 114 1047.63 816.5 999.92 760.84 4797.86 137.83
ExampleVP1 115 1047.6 816.45 999.91 760.92 4797.53 137.82
ExampleVP1 116 1047.47 816.48 998.45 760.84 4797.55 137.8
ExampleVP1 117 1047.55 816.46 998.83 760.83 4798.04 137.81
ExampleVP1 118 1047.46 816.38 998.25 760.84 4798.99 137.79
ExampleVP1 119 1047.71 816.44 1000.08 760.84 4797.56 137.82
ExampleVP1 120 1047.51 816.44 999.97 760.86 4797.55 137.82
ExampleVP1 121 1047.56 816.41 999.33 760.89 4797.55 137.81
ExampleVP1 122 1047.56 816.43 999.36 760.86 4797.73 137.87
ExampleVP1 123 1047.49 816.4 999.02 760.81 4797.5 137.78
ExampleVP1 124 1047.43 816.43 999.07 760.79 4797.55 137.82
ExampleVP1 125 1047.55 816.47 1001.47 760.87 4798.05 137.78
ExampleVP1 126 1047.4 816.46 1105.51 760.85 4797.5 137.82
ExampleVP1 127 1047.66 816.49 995.1 760.8 4797.58 137.8
ExampleVP1 128 1048.09 815.98 995.01 760.83 4797.4 137.81
ExampleVP1 129 1047.58 815.59 994.9 760 4798.47 137.83
ExampleVP1 130 1047.69 816.45 995.01 760.01 4798.79 137.84
ExampleVP1 131 1047.49 816.41 995.01 760.82 4798.46 137.75
ExampleVP1 132 1047.52 816.5 994.93 760.86 4797.71 137.74
ExampleVP1 133 1047.52 816.47 995.02 760.88 4800.22 137.8
ExampleVP1 134 1047.63 816.43 995 760.89 4797.72 137.84
ExampleVP1 135 1047.6 816.43 995.01 760.83 4799.51 137.75
ExampleVP1 136 1047.58 816.4 994.95 760.86 4797.44 137.81
ExampleVP1 137 1047.48 816.39 995 760.86 4797.43 137.8
